iter	Passed	Remaining
271	2160	5782
272	2167	5770
273	2177	5769
274	2182	5753
275	2190	5745
276	2194	5728
277	2204	5725
278	2213	5719
279	2223	5716
280	2227	5700
281	2236	5695
282	2244	5686
283	2253	5682
284	2259	5668
285	2265	5655
286	2270	5640
287	2275	5625
288	2283	5616
289	2289	5605
290	2298	5600
291	2304	5586
292	2318	5593
293	2324	5582
294	2332	5574
295	2337	5559
296	2345	5551
297	2350	5537
298	2356	5524
299	2364	5517
300	2371	5506
301	2379	5498
302	2384	5486
303	2395	5484
304	2401	5472
305	2409	5464
306	2413	5448
307	2418	5433
308	2425	5424
309	2430	5410
310	2442	5412
311	2448	5399
312	2456	5392
313	2462	5378
314	2472	5377
315	2478	5364
316	2485	5354
317	2490	5341
318	2495	5326
319	2502	5317
320	2508	5306
321	2519	5304
322	2525	5293
323	2533	5286
324	2539	5274
325	2548	5268
326	2561	5271
327	2569	5263
328	2575	5253
329	2581	5241
330	2651	5358
331	2679	5392
332	2685	5378
333	2694	5373
334	2701	5361
335	2708	5352
336	2713	5339
337	2718	5324
338	2726	5316
339	2733	5305
340	2744	5302
341	2749	5289
342	2758	5283
343	2764	5272
344	2774	5268
345	2779	5252
346	2786	5243
347	2792	5232
348	2799	5222
349	2807	5214
350	2814	5203
351	2820	5192
352	2825	5179
353	2834	5171
354	2839	5159
355	2848	5153
356	2853	5139
357	2859	5127
358	2868	5121
359	2874	5109
360	2883	5104
361	2889	5092
362	2897	5085
363	2903	5073
364	2910	5064
365	2917	5053
366	2924	5043
367	2930	5032
368	2935	5019
369	2944	5013
370	2950	5001
371	2959	4996
372	2966	4986
373	2972	4975
374	2979	4965
375	2985	4954
376	2993	4947
377	3000	4937
378	3006	4926
379	3012	4914
380	3020	4907
381	3027	4898
382	3037	4893
383	3042	4880
384	3050	4872
385	3056	4861
386	3063	4853
387	3071	4844
388	3076	4832
389	3084	4824
390	3091	4815
391	3100	4808
392	3106	4797
393	3114	4789
394	3119	4777
395	3127	4769
396	3133	4759
397	3141	4751
398	3148	4742
399	3153	4730
400	3161	4722
401	3167	4712
402	3177	4707
403	3184	4697
404	3191	4689
405	3196	4676
406	3200	4663
407	3210	4658
408	3218	4651
409	3226	4642
410	3231	4631
411	3240	4624
412	3246	4613
413	3255	4607
414	3261	4597
415	3268	4588
416	3274	4578
417	3282	4571
418	3289	4561
419	3298	4554
420	3304	4544
421	3308	4532
422	3317	4525
423	3323	4515
424	3333	4509
425	3338	4498
426	3346	4491
427	3354	4482
428	3363	4477
429	3371	4469
430	3379	4461
431	3383	4449
432	3390	4439
433	3398	4432
434	3404	4422
435	3413	4416
436	3418	4404
437	3427	4397
438	3432	4386
439	3443	4382
440	3449	4373
441	3456	4363
442	3461	4352
443	3468	4342
444	3475	4335
445	3484	4328
446	3490	4318
447	3495	4306
448	3504	4300
449	3510	4291
450	3519	4284
451	3524	4273
452	3530	4263
453	3537	4253
454	3542	4243
455	3552	4238
456	3559	4229
457	3566	4220
458	3571	4209
459	3579	4201
460	3585	4192
461	3593	4184
462	3599	4175
463	3604	4164
464	3610	4154
465	3618	4146
466	3626	4138
467	3633	4130
468	3638	4119
469	3645	4111
470	3651	4101
471	3659	4093
472	3667	4085
473	3675	4078
474	3681	4068
475	3685	4057
476	3694	4051
477	3701	4041
478	3710	4035
479	3715	4024
480	3722	4017
481	3728	4006
482	3738	4001
483	3745	3993
484	3753	3986
485	3758	3975
486	3767	3968
487	3773	3959
488	3780	3950
489	3786	3941
490	3796	3935
491	3804	3928
492	3814	3922
493	3821	3914
494	3829	3907
495	3835	3896
496	3841	3887
497	3849	3880
498	3858	3874
499	3864	3864
500	3872	3857
501	3878	3847
502	3884	3837
503	3894	3832
504	3900	3823
505	3906	3814
506	3911	3803
507	3921	3798
508	3928	3789
509	3937	3782
510	3941	3771
511	3946	3761
512	3953	3753
513	3958	3743
514	3967	3736
515	3973	3727
516	3979	3717
517	3986	3709
518	3992	3699
519	4001	3693
520	4007	3684
521	4015	3677
522	4021	3667
523	4026	3658
524	4034	3650
525	4041	3642
526	4050	3635
527	4054	3624
528	4062	3617
529	4069	3609
530	4078	3602
531	4084	3593
532	4095	3588
533	4100	3577
534	4107	3569
535	4113	3561
536	4126	3557
537	4132	3548
538	4137	3538
539	4145	3531
540	4151	3521
541	4160	3515
542	4166	3506
543	4173	3498
544	4178	3488
545	4186	3481
546	4193	3472
547	4202	3466
548	4207	3456
549	4212	3446
550	4220	3439
551	4227	3431
552	4237	3425
553	4242	3415
554	4249	3407
555	4255	3398
556	4260	3388
557	4269	3382
558	4276	3373
559	4283	3365
560	4288	3355
561	4297	3349
562	4303	3340
563	4312	3333
564	4317	3323
565	4323	3314
566	4332	3308
567	4338	3299
568	4347	3292
569	4352	3283
570	4359	3275
571	4364	3265
572	4370	3257
573	4379	3250
574	4387	3242
575	4393	3233
576	4398	3224
577	4406	3217
578	4412	3208
579	4423	3202
580	4429	3194
581	4435	3185
582	4440	3176
583	4447	3167
584	4457	3161
585	4468	3156
586	4473	3147
587	4478	3138
588	4484	3129
589	4491	3121
590	4500	3114
591	4505	3105
592	4514	3098
593	4520	3089
594	4529	3083
595	4536	3074
596	4542	3066
597	4547	3057
598	4554	3049
599	4563	3042
600	4569	3033
601	4576	3025
602	4582	3017
603	4586	3007
604	4597	3001
605	4605	2994
606	4611	2985
607	4615	2975
608	4622	2968
609	4628	2959
610	4634	2950
611	4644	2944
612	4649	2935
613	4657	2927
614	4661	2918
615	4670	2911
616	4676	2902
617	4683	2895
618	4691	2887
619	4696	2878
620	4704	2871
621	4709	2862
622	4718	2855
623	4725	2847
624	4787	2872
625	4813	2875
626	4821	2868
627	4827	2859
628	4839	2854
629	4844	2845
630	4854	2838
631	4860	2829
632	4870	2823
633	4874	2814
634	4879	2804
635	4887	2797
636	4892	2788
637	4903	2782
638	4908	2773
639	4916	2765
640	4920	2755
641	4931	2749
642	4940	2743
643	4950	2736
644	4955	2727
645	4964	2720
646	4969	2711
647	4977	2703
648	4984	2695
649	4991	2687
650	4997	2679
651	5004	2670
652	5012	2663
653	5019	2655
654	5028	2648
655	5042	2644
656	5051	2637
657	5058	2629
658	5065	2621
659	5069	2611
660	5076	2603
661	5084	2596
662	5092	2588
663	5097	2579
664	5103	2570
665	5110	2563
666	5117	2554
667	5126	2547
668	5132	2539
669	5137	2530
670	5143	2522
671	5150	2513
672	5161	2507
673	5170	2501
674	5176	2492
675	5180	2483
676	5189	2476
677	5196	2467
678	5206	2461
679	5211	2452
680	5216	2443
681	5227	2437
682	5238	2431
683	5244	2422
684	5250	2414
685	5255	2405
686	5260	2396
687	5268	2389
688	5274	2380
689	5284	2374
690	5290	2365
691	5295	2356
692	5305	2350
693	5313	2342
694	5320	2334
695	5325	2325
696	5333	2318
697	5340	2310
698	5349	2303
699	5355	2295
700	5363	2287
701	5368	2278
702	5376	2271
703	5382	2263
704	5389	2255
705	5396	2247
706	5401	2238
707	5408	2230
708	5415	2222
709	5425	2215
710	5432	2208
711	5438	2199
712	5443	2191
713	5449	2182
714	5457	2175
715	5465	2168
716	5473	2160
717	5477	2151
718	5482	2142
719	5491	2135
720	5498	2127
721	5506	2120
722	5512	2111
723	5519	2104
724	5525	2095
725	5532	2088
726	5539	2080
727	5548	2073
728	5555	2065
729	5559	2056
730	5567	2048
731	5573	2040
732	5583	2033
733	5587	2025
734	5595	2017
735	5601	2009
736	5610	2002
737	5616	1993
738	5622	1985
739	5628	1977
740	5633	1969
741	5642	1962
742	5649	1954
743	5658	1947
744	5664	1938
745	5673	1931
746	5678	1923
747	5688	1916
748	5695	1908
749	5701	1900
750	5706	1891
751	5712	1884
752	5721	1876
753	5727	1868
754	5736	1861
755	5740	1852
756	5746	1844
757	5751	1836
758	5761	1829
759	5768	1821
760	5775	1813
761	5782	1806
762	5788	1797
763	5797	1790
764	5804	1783
765	5810	1774
766	5816	1766
767	5823	1759
768	5832	1751
769	5839	1744
770	5850	1737
771	5855	1729
772	5863	1721
773	5870	1714
774	5878	1706
775	5882	1698
776	5890	1690
777	5897	1682
778	5908	1676
779	5915	1668
780	5920	1660
781	5925	1651
782	5930	1643
783	5936	1635
784	5944	1628
785	5953	1620
786	5957	1612
787	5966	1605
788	5971	1596
789	5981	1590
790	5990	1582
791	5997	1575
792	6001	1566
793	6008	1558
794	6015	1551
795	6021	1543
796	6031	1536
797	6036	1527
798	6044	1520
799	6049	1512
800	6059	1505
801	6065	1497
802	6072	1489
803	6077	1481
804	6083	1473
805	6093	1466
806	6099	1458
807	6106	1451
808	6111	1442
809	6119	1435
810	6125	1427
811	6133	1420
812	6139	1412
813	6144	1403
814	6150	1396
815	6156	1388
816	6166	1381
817	6172	1373
818	6177	1365
819	6185	1357
820	6190	1349
821	6198	1342
822	6206	1334
823	6214	1327
824	6219	1319
825	6224	1311
826	6233	1304
827	6240	1296
828	6247	1288
829	6259	1282
830	6270	1275
831	6278	1267
832	6286	1260
833	6291	1252
834	6298	1244
835	6304	1236
836	6314	1229
837	6318	1221
838	6325	1213
839	6332	1206
840	6337	1198
841	6345	1190
842	6351	1182
843	6360	1175
844	6365	1167
845	6370	1159
846	6378	1152
847	6384	1144
848	6394	1137
849	6399	1129
850	6410	1122
851	6415	1114
852	6425	1107
853	6430	1099
854	6438	1091
855	6442	1083
856	6447	1075
857	6456	1068
858	6463	1060
859	6472	1053
860	6478	1045
861	6487	1038
862	6494	1030
863	6504	1023
864	6509	1015
865	6515	1008
866	6521	1000
867	6526	992
868	6535	985
869	6544	977
870	6550	970
871	6555	962
872	6560	954
873	6567	946
874	6574	939
875	6582	931
876	6588	924
877	6598	916
878	6604	909
879	6613	901
880	6619	894
881	6626	886
882	6632	878
883	6638	871
884	6645	863
885	6651	855
886	6658	848
887	6663	840
888	6670	832
889	6678	825
890	6687	818
891	6693	810
892	6701	802
893	6706	795
894	6712	787
895	6721	780
896	6728	772
897	6737	765
898	6742	757
899	6747	749
900	6756	742
901	6766	735
902	6773	727
903	6781	720
904	6787	712
905	6796	705
906	6802	697
907	6807	689
908	6859	686
909	6881	680
910	6891	673
911	6898	665
912	6904	657
913	6912	650
914	6917	642
915	6924	635
916	6931	627
917	6941	620
918	6948	612
919	6953	604
920	6959	596
921	6965	589
922	6973	581
923	6980	574
924	6989	566
925	6994	558
926	6999	551
927	7008	543
928	7015	536
929	7022	528
930	7027	520
931	7036	513
932	7044	505
933	7052	498
934	7058	490
935	7066	483
936	7071	475
937	7080	467
938	7086	460
939	7096	452
940	7100	445
941	7105	437
942	7114	430
943	7121	422
944	7129	414
945	7135	407
946	7144	399
947	7150	392
948	7161	384
949	7166	377
950	7175	369
951	7179	362
952	7187	354
953	7193	346
954	7203	339
955	7210	331
956	7217	324
957	7224	316
958	7230	309
959	7237	301
960	7241	293
961	7249	286
962	7255	278
963	7260	271
964	7268	263
965	7275	256
966	7285	248
967	7291	241
968	7298	233
969	7304	225
970	7312	218
971	7321	210
972	7329	203
973	7336	195
974	7345	188
975	7351	180
976	7356	173
977	7361	165
978	7368	158
979	7377	150
980	7384	143
981	7392	135
982	7397	127
983	7402	120
984	7411	112
985	7418	105
986	7427	97
987	7433	90
988	7440	82
989	7446	75
990	7455	67
991	7460	60
992	7469	52
993	7479	45
994	7487	37
995	7498	30
996	7506	22
997	7513	15
998	7519	7
999	7526	0
