iter	Logloss
196	0.3933878345
197	0.3928774221
198	0.3923113211
199	0.3918974639
200	0.3915054479
201	0.3910837812
202	0.3906062998
203	0.390357265
204	0.3898072459
205	0.3892986729
206	0.3888901641
207	0.3883600307
208	0.387841557
209	0.3874508102
210	0.3869467898
211	0.3865292091
212	0.3860110115
213	0.3855681796
214	0.3853401797
215	0.3849365739
216	0.3845552141
217	0.3840642154
218	0.3837046496
219	0.3833421248
220	0.3830357062
221	0.3825292037
222	0.382206083
223	0.3815819614
224	0.3812403493
225	0.3807371366
226	0.3804726695
227	0.3800945762
228	0.3795583063
229	0.379230766
230	0.3785386061
231	0.3780158528
232	0.37754068
233	0.3769271759
234	0.3766612529
235	0.3761835968
236	0.3756989673
237	0.3753175133
238	0.3748956585
239	0.3744275309
240	0.373988569
241	0.3736803832
242	0.3732300026
243	0.3728581814
244	0.3726262977
245	0.3722275587
246	0.3717519896
247	0.3713490957
248	0.3709493128
249	0.370585257
250	0.3702693199
251	0.3700134896
252	0.3695472753
253	0.3691670987
254	0.3690011898
255	0.3685589204
256	0.3682116967
257	0.3679968545
258	0.3676209602
259	0.3672382842
260	0.3669422759
261	0.3666736375
262	0.3662340473
263	0.3659386886
264	0.365560567
265	0.3651790111
266	0.3649981059
267	0.3648081718
268	0.3646304581
269	0.3642958466
270	0.3641172969
271	0.3638706709
272	0.363743707
273	0.363454382
274	0.3630666934
275	0.3628703301
276	0.3624231118
277	0.3620891684
278	0.3619305344
279	0.3617558183
280	0.3612828294
281	0.3609048199
282	0.3606485387
283	0.3602629932
284	0.3599822154
285	0.3596227437
286	0.3592435982
287	0.3590227016
288	0.3587908603
289	0.3583411109
290	0.357890338
291	0.3577174416
292	0.3572798714
293	0.3571016109
294	0.3567676113
295	0.3565136053
296	0.3561903881
297	0.3558455701
298	0.3554896804
299	0.3551207856
300	0.3548033002
301	0.3545830446
302	0.3540148793
303	0.3538180949
304	0.3536355652
305	0.35333427
306	0.3531089851
307	0.3526684055
308	0.352528592
309	0.3522409533
310	0.3518840692
311	0.3515560803
312	0.35141096
313	0.3512045857
314	0.3509401091
315	0.3505850211
316	0.3503863971
317	0.3501429833
318	0.3497791455
319	0.3495974142
320	0.3491962085
321	0.3489641613
322	0.3486931094
323	0.3483230521
324	0.3481307853
325	0.3478422551
326	0.3476685324
327	0.3475231902
328	0.3472116481
329	0.3470546288
330	0.34677908
331	0.3464477592
332	0.3459536792
333	0.3456591527
334	0.3453405503
335	0.3451613681
336	0.3450004276
337	0.3446941555
338	0.344373493
339	0.3441823938
340	0.3439152142
341	0.343644967
342	0.3432879544
343	0.3429535705
344	0.3427795832
345	0.3426125213
346	0.3421747205
347	0.3418804892
348	0.3417511593
349	0.3415435928
350	0.3413455388
351	0.3411596462
352	0.3409296498
353	0.340647895
354	0.3403016406
355	0.3400110029
356	0.3398342954
357	0.3395528159
358	0.3391201131
359	0.3387511702
360	0.3384660134
361	0.3382687699
362	0.3380085767
363	0.3376995091
364	0.3375136044
365	0.3371101505
366	0.3369722584
367	0.3367136372
368	0.3363634928
369	0.3360879364
370	0.3358501165
371	0.3354975583
372	0.3351613918
373	0.334842408
374	0.3345246801
375	0.3342630086
376	0.3338370188
377	0.3336446116
378	0.3334451405
379	0.333176331
380	0.3329530965
381	0.3328179216
382	0.3325369483
383	0.3321318386
384	0.3319141946
385	0.3317626479
386	0.3313984401
387	0.3310861643
388	0.3307798029
389	0.3304841617
390	0.3302012034
391	0.3299426562
392	0.3296415347
393	0.3294226661
394	0.3289721744
395	0.3287495924
396	0.3285699901
397	0.3283531934
398	0.3282433676
399	0.3279131581
400	0.3276460105
401	0.3274870391
402	0.3271500285
403	0.3268883884
404	0.3266998942
405	0.3264170097
406	0.326076294
407	0.3257104339
408	0.3255742132
409	0.3254607802
410	0.3252749521
411	0.3249687884
412	0.3247194601
413	0.3243324542
414	0.3242224036
415	0.3240467996
416	0.3238472459
417	0.3236158697
418	0.3234819713
419	0.3232177051
420	0.3228627208
421	0.3225971358
422	0.3224911644
423	0.3223688585
424	0.322157258
425	0.3219962566
426	0.3217873749
427	0.3215625779
428	0.3213001481
429	0.3210296384
430	0.32081826
431	0.3205802501
432	0.320351308
433	0.320125961
434	0.3198955446
435	0.3196603376
436	0.3193082836
437	0.3192092112
438	0.3190250974
439	0.3188299397
440	0.3185794258
441	0.3184636578
442	0.3181810973
443	0.3180587583
444	0.3178847344
445	0.317678806
446	0.3173494512
447	0.317133739
448	0.3168760511
449	0.3167740029
450	0.3166549234
451	0.3164826317
452	0.3163834038
453	0.3161183904
454	0.3157643942
455	0.3156356596
456	0.3153567941
457	0.3151501839
458	0.31473144
459	0.3144460608
460	0.3143263392
461	0.3140424106
462	0.313652568
463	0.3134157171
464	0.3131176914
465	0.3129428262
466	0.31270483
467	0.3125247645
468	0.3123669563
469	0.3120501063
470	0.3118507275
471	0.3115877861
472	0.3113514643
473	0.3110130259
474	0.3107451687
475	0.310552936
476	0.3103189088
477	0.3100819483
478	0.3098511287
479	0.3095975697
480	0.3094157536
481	0.3092060149
482	0.3090258184
483	0.308678352
484	0.3085271543
485	0.3082972627
486	0.3081205741
487	0.3078811876
488	0.3075599401
489	0.3073023252
490	0.3071441687
491	0.3069914323
492	0.3067829985
493	0.3065719706
494	0.3064591216
495	0.3062925692
496	0.3061301973
497	0.3060134164
498	0.3057111334
499	0.3054993241
500	0.3053596759
501	0.3051878459
502	0.3048530432
503	0.3045097075
504	0.3042408798
505	0.3040678572
506	0.3038919467
507	0.3036214869
508	0.3032505869
509	0.3031022312
510	0.3028482732
511	0.3026614782
512	0.3024505031
513	0.3020961118
514	0.301851603
515	0.301616619
516	0.3014897163
517	0.301309532
518	0.3011302315
519	0.301034126
520	0.3007944241
521	0.3005850286
522	0.3003184617
523	0.300074816
524	0.2998526743
525	0.299590714
526	0.299437631
527	0.2992490073
528	0.2990391163
529	0.298896092
530	0.2988286782
531	0.298646036
532	0.2983798481
533	0.2981331902
534	0.2978758785
535	0.2976438789
536	0.2974198303
537	0.2973017814
538	0.2969558127
539	0.2968639822
540	0.2965657316
541	0.2963437693
542	0.2960933896
543	0.2959731573
544	0.2958971964
545	0.2957286169
546	0.295530285
547	0.2953020632
548	0.2949960344
549	0.2946445117
550	0.2944388166
551	0.2943066267
552	0.2941923645
553	0.2940732031
554	0.2939029443
555	0.2937649588
556	0.2935049067
557	0.2932915803
558	0.2931573899
559	0.2928618411
560	0.2926320308
561	0.2925690232
562	0.2923792546
563	0.2920857546
564	0.2919163975
565	0.2917593611
566	0.291627491
567	0.291516236
568	0.2913474024
569	0.2910530625
570	0.2907964819
571	0.2906746297
572	0.2905348335
573	0.290441812
574	0.2902153879
575	0.2901149495
576	0.289955403
577	0.2898787916
578	0.2897327063
579	0.2895145599
580	0.2893906065
581	0.2891814577
582	0.2890494723
583	0.2888075261
584	0.2886051905
585	0.2883289334
586	0.2881162839
587	0.2879945532
588	0.2878682545
589	0.2876913147
590	0.2874692161
591	0.2873515764
592	0.2871905371
593	0.2869578315
594	0.2866925599
595	0.2865443861
596	0.2864137392
597	0.2860935934
598	0.2857711323
599	0.2855565135
600	0.2854286098
601	0.2853038464
602	0.2851318192
603	0.2848616225
604	0.2846497748
605	0.2844887655
606	0.2843275503
607	0.2841514585
608	0.2840144571
609	0.2838465582
610	0.2836778317
611	0.2834551919
612	0.2833096211
613	0.2832144916
614	0.2831442142
615	0.283016129
616	0.2828016748
617	0.2824488519
618	0.2823114185
619	0.2821738807
620	0.2819502911
621	0.2817114216
622	0.281537981
623	0.2813786967
624	0.2811441962
625	0.2809816124
626	0.2808658979
627	0.280596192
628	0.2804413409
629	0.2802883812
630	0.2801440975
631	0.2799045497
632	0.2797392047
633	0.2794785014
634	0.2792754867
635	0.2790824373
636	0.2788539881
637	0.2786933794
638	0.278573005
639	0.2783932578
640	0.2781275548
641	0.2780543098
642	0.2778257765
643	0.2775995915
644	0.2774175885
645	0.2771978759
646	0.2769966828
647	0.2766181026
648	0.2764337665
649	0.2762842369
650	0.276111676
651	0.2760006813
652	0.2757555626
653	0.2756149512
654	0.275350364
655	0.2750676946
656	0.2748508279
657	0.2747811799
658	0.2746102412
659	0.2744635533
660	0.2740065059
661	0.2737369499
662	0.2736383165
663	0.2735196097
664	0.2733649704
665	0.2732574066
666	0.2731243362
667	0.2729739431
668	0.2728299593
669	0.272742344
670	0.2726555475
671	0.2723474973
672	0.2720838653
673	0.2718674836
674	0.2717127204
675	0.2713666748
676	0.2711684873
677	0.2710084559
678	0.27081747
679	0.270731617
680	0.2704632915
681	0.2703756213
682	0.2700850986
683	0.2699778373
684	0.2698702156
685	0.2696939013
686	0.2694070153
687	0.2692467734
688	0.269063477
689	0.2688935002
690	0.2687216917
691	0.2685453599
692	0.2684028925
693	0.2682621757
694	0.2681023751
695	0.2678874053
696	0.2677941827
697	0.2676071588
698	0.267389838
699	0.2672839248
700	0.2670519166
701	0.266858763
702	0.2667740611
703	0.2666837179
704	0.2664315221
705	0.266104774
706	0.2659872528
707	0.2658652948
708	0.265534856
709	0.2654257445
710	0.2652562295
711	0.2650387788
712	0.2648933099
713	0.2646880107
714	0.2645993748
715	0.2643495142
716	0.2642528952
717	0.2641269739
718	0.26401827
719	0.2638530687
720	0.2637569668
721	0.2635497642
722	0.2634265059
723	0.2633899808
724	0.2632243778
725	0.263046151
726	0.2628272559
727	0.2626493701
728	0.2624957859
729	0.262369679
730	0.2622015273
731	0.2620812754
732	0.2620001411
733	0.2618937965
734	0.2615932462
735	0.2614119768
736	0.2612889229
737	0.2611617644
738	0.2609173025
739	0.2606738485
740	0.2605571832
741	0.2603990203
742	0.2603259449
743	0.2601853237
744	0.2600198217
745	0.2599127911
746	0.2597359452
747	0.2595363288
748	0.2592871725
749	0.2591393875
750	0.259077803
751	0.2589120553
752	0.2587935589
753	0.2586811693
754	0.258489672
755	0.2583515544
756	0.2582343694
757	0.2581221609
758	0.2578654816
759	0.2576200432
760	0.257488215
761	0.2573949078
762	0.2573356992
763	0.2571263907
764	0.2570349471
765	0.2568770576
766	0.256712468
767	0.2566259026
768	0.2563691978
769	0.2561601244
770	0.2559774534
771	0.2557887981
772	0.2556467556
773	0.2554557042
774	0.2552256146
775	0.2551021521
776	0.2549473397
777	0.2547642384
778	0.254689937
779	0.2544040817
780	0.2542030913
781	0.2539779515
782	0.2538659543
783	0.2537761009
784	0.2536646267
785	0.2535827844
786	0.2533714191
787	0.2532078402
788	0.2531314975
789	0.2530130585
790	0.2528707836
791	0.2526216095
792	0.252391873
793	0.2523117047
794	0.2521628558
795	0.2520693208
796	0.2518724756
797	0.2517716789
798	0.2516336268
799	0.2515172364
800	0.2512290356
801	0.2510508277
802	0.25093736
803	0.2508612453
804	0.2507205024
805	0.2506363904
806	0.2505390209
807	0.2503526779
808	0.2502347825
809	0.2500295462
810	0.2499373447
811	0.2498399012
812	0.2496301022
813	0.2494525825
814	0.2493194412
815	0.2491860845
816	0.2490904355
817	0.2490130573
818	0.2488225367
819	0.2485815563
820	0.248462003
821	0.2482686065
822	0.2480492891
823	0.2479152546
824	0.2477306408
825	0.2474794544
826	0.2473199044
827	0.2470851698
828	0.2469012188
829	0.246819074
830	0.2465686703
831	0.2464101361
832	0.2462505667
833	0.2461768888
834	0.2460696305
835	0.2459162066
836	0.2458546524
837	0.24565729
838	0.2453625619
839	0.2450999801
840	0.2448815305
841	0.2447623946
842	0.2446523537
843	0.2444439036
844	0.2443694822
845	0.244258409
846	0.2441990777
847	0.2440558698
848	0.2439656356
849	0.2437806553
850	0.2435410136
851	0.2433394555
852	0.2432743781
853	0.2431400495
854	0.2429030612
855	0.2427797168
856	0.2426201465
857	0.242533672
858	0.2422996694
859	0.242154176
860	0.2418385379
861	0.241534489
862	0.2412624287
863	0.2411613118
864	0.2409786
865	0.240816948
866	0.2406519772
867	0.2404262573
868	0.240294118
869	0.240200858
870	0.2401535599
871	0.2398675054
872	0.2396925742
873	0.2394949158
874	0.2393491517
875	0.2391654369
876	0.2390624637
877	0.2387674077
878	0.2385530961
879	0.238406869
880	0.2383328335
881	0.2381603176
882	0.2379977487
883	0.2378382934
884	0.2377503823
885	0.237592814
886	0.2374939358
887	0.2373463672
888	0.2372313003
889	0.2370760417
890	0.2368922287
891	0.236714736
892	0.2365193797
893	0.2362630262
894	0.2361044241
895	0.2359376808
896	0.2358861082
897	0.2357796099
898	0.2354926789
899	0.2352748174
900	0.2351461083
901	0.234924425
902	0.2347637519
903	0.234636204
904	0.2345725031
905	0.2344498892
906	0.2343498468
907	0.2342481585
908	0.2340352667
909	0.2339856643
910	0.2339344916
911	0.2338308854
912	0.2337655262
913	0.2336105602
914	0.2333624512
915	0.2332321677
916	0.2331036816
917	0.2330023309
918	0.2327962657
919	0.2326497098
920	0.2324308756
921	0.2322811977
922	0.2320967726
923	0.2320553587
924	0.2319293176
925	0.2318055557
926	0.2317070508
927	0.2316320405
928	0.2314473012
929	0.23123219
930	0.2310925326
931	0.2308431896
932	0.2307688432
933	0.2305759892
934	0.2303916921
935	0.2303070529
936	0.2300219178
937	0.2298914243
938	0.2298190729
939	0.2297509119
940	0.2295604485
941	0.2293680036
942	0.2292920011
943	0.229265093
944	0.2291966931
945	0.2290665604
946	0.2289889128
947	0.228931315
948	0.2288695134
949	0.2286505581
950	0.2284682882
951	0.2282942828
952	0.2281947194
953	0.2281132077
954	0.228030625
955	0.2279128697
956	0.2278014501
957	0.2276473838
958	0.2275787566
959	0.2274658723
960	0.2272898501
961	0.2270947662
962	0.226998991
963	0.226813673
964	0.226766131
965	0.2265076297
966	0.2263213015
967	0.226129911
968	0.2260518591
969	0.2258851782
970	0.2257948502
971	0.2255937348
972	0.2253662401
973	0.2252486814
974	0.2251765524
975	0.2251157977
976	0.2250559345
977	0.224895576
978	0.2246955598
979	0.224617032
980	0.2245456966
981	0.2243404955
982	0.2242770152
983	0.2242283588
984	0.2241604377
985	0.2239289152
986	0.2238313323
987	0.22358324
988	0.2233848375
989	0.2233313733
990	0.2232238649
991	0.2230028281
992	0.2228133165
993	0.2227038329
994	0.2226074401
995	0.2224628519
996	0.2223816769
997	0.2223039044
998	0.2220721438
999	0.2219488821
